,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
104,,,,STRT,OPRX,WHWK,XFOR,FORR,
105,,,,BFLY,XOS,TTEC,MGNX,AXTI,
106,,,,KVHI,NHTC,STRT,SMHI,OGI,
107,,,,RKDA,ACNT,EVC,ZDGE,IVVD,
108,,,,NHTC,GAME,SMSI,LDWY,SWAG,
109,,,,XOS,ACU,FTEK,SOL,MTEX,
110,,,,BZFD,IDN,PETS,SGA,BLNE,
111,,,,ONIT,SGA,TWIN,DIBS,MNDO,
112,,,,ULBI,STKS,OIS,BOOM,HITI,
113,,,,DIT,DOUG,LAW,SQNS,CRNT,
114,,,,MHH,GAIA,UEIC,APT,ZDGE,
115,,,,QIPT,XWEL,EDRY,PRPO,GAIA,
116,,,,APT,BTBD,ZDGE,NCSM,SND,
117,,,,RVYL,FTHM,HBIO,KVHI,CREX,
118,,,,XGN,ODV,NOTV,AIRG,JRSH,
119,,,,ESCA,EGAN,CMT,INVE,BRAG,
120,,,,LCUT,FTEK,ESEA,XTNT,VERB,
121,,,,QUBT,FPAY,FORR,OGI,APT,
122,,,,LIQT,GRNQ,BLIN,RGS,CMT,
123,,,,SKLZ,NRDY,VPG,CPHC,JCTC,
124,,,,FLNT,IMPP,IPW,OM,TACT,
125,,,,TOON,GGR,DTI,TAIT,KVHI,
126,,,,APPS,TOON,NRDY,BWEN,ACNT,
127,,,,INUV,CSTE,ACU,TACT,IRIX,
128,,,,FPAY,SOL,BDL,ZVIA,CNVS,
129,,,,BKTI,CMT,CRWS,ULBI,RMTI,
130,,,,ESEA,III,AMPY,INGN,HBIO,
131,,,,LNSR,CULP,SHIP,NOTE,BGLC,
132,,,,RELL,SGRP,CPIX,DAIO,ANIK,
133,,,,NRDY,SSKN,FORD,BRLT,FRGT,
134,,,,SGA,AXTI,VIRC,JCTC,IZEA,
135,,,,WPRT,MTEX,ANGO,ZYXI,BARK,
136,,,,OGI,TUSK,ONEW,WHWK,INFU,
137,,,,TAIT,CPHC,ZVIA,FLXS,OPAD,
138,,,,AKA,RGS,FLNT,QRHC,AMS,
139,,,,CMCL,STRT,AVNW,GTIM,DOUG,
140,,,,STIM,VVOS,APT,CPIX,LUNG,
141,,,,HBIO,ZDGE,TBRG,TELA,FSI,
142,,,,DTST,NAII,ACCS,HHS,INUV,
143,,,,FLXS,ARTW,GAIA,AENT,VERO,
144,,,,KGEI,BRAG,TG,RELL,PBYI,
145,,,,CVGI,RDNW,HBB,GAIA,NRDY,
146,,,,NC,OPAD,IVF,AP,RMCF,
147,,,,HHS,ACCS,LXRX,RFL,EML,
148,,,,IMCC,MCHX,HYPR,NHTC,COSM,
149,,,,CSCI,COSM,MCHX,CXAI,CPHC,
150,,,,GTIM,DTST,BRN,AKA,TE,
151,,,,VVOS,CMBM,LAKE,OPAD,BWEN,
152,,,,AXTI,APT,RFIL,CLLS,BZFD,
153,,,,FRSX,TACT,SGC,MCHX,OCC,
154,,,,PXS,INFU,APPS,EKSO,FLNT,
155,,,,OSS,BGLC,BBCP,RMTI,BLNK,
156,,,,CMT,NBY,SPRU,MHH,TELA,
157,,,,APYX,KGEI,FRD,NRDY,GENC,
158,,,,EXFY,BKTI,RELL,FRD,SNCR,
159,,,,BTBD,HYPR,DAIO,TWIN,GROV,
160,,,,GAIA,XGN,CMCL,GROV,AIRG,
161,,,,XTNT,EML,OSUR,VRAR,DAIO,
162,,,,CNTY,DIBS,FSTR,EDAP,ULBI,
163,,,,MCHX,CREX,MCFT,SNES,BEEM,
164,,,,AIRG,LDWY,WFCF,EML,CDLX,
165,,,,TELA,PRPL,SMHI,CDLX,CSCI,
166,,,,III,SSTI,NC,AIRS,HYPR,
167,,,,TG,HHS,BWEN,ARQ,ZYXI,
168,,,,DTI,PPIH,COOK,OPRX,IDAI,
169,,,,EML,SONM,FF,STRT,AP,
170,,,,OPRX,PLAG,DLHC,HYPR,UAVS,
171,,,,ELA,RFIL,BFRI,OTRK,IDN,
172,,,,BGLC,DAIO,VRME,GENC,NTIC,
173,,,,ACNT,INTZ,HDSN,SSKN,ECOR,
174,,,,SHIP,RELL,EGAN,BRAG,CVRX,
175,,,,RCEL,GPRO,PLL,EGAN,MLSS,
176,,,,TWIN,BWEN,NOTE,CULP,TOON,
177,,,,CPHC,GIFI,INFU,XGN,GIFI,
178,,,,BEEM,DTI,CULP,SHIP,LGVN,
179,,,,ASYS,NC,OGI,ACU,CNET,
180,,,,CELU,ESCA,FEIM,RELI,MAPS,
181,,,,ACU,BZFD,HITI,BDSX,SNOA,
182,,,,GROV,FLNT,EVI,SGRP,KRMD,
183,,,,ALLT,MHH,ACNT,EVC,INLX,
184,,,,STKS,TOMZ,OSS,INFU,MYO,
185,,,,PLL,IFRX,TTSH,BLIN,CCLD,
186,,,,EPSN,CTRN,ONTF,TLS,MPAA,
187,,,,RELI,IVDA,LTRX,CMT,FLXS,
188,,,,REKR,APYX,PANL,WKSP,ASYS,
189,,,,SCOR,LVLU,MHH,INUV,SRTS,
190,,,,AEYE,NVVE,AUDC,DTST,RFIL,
191,,,,IDN,BKKT,OPAD,MSAI,PRPO,
192,,,,TZOO,IMCC,GTIM,EVTV,ACU,
193,,,,TISI,CXAI,TNXP,MAPS,ARQ,
194,,,,IPDN,CRGO,PPIH,INLX,PLAG,
195,,,,BWEN,AGAE,SGHT,TNXP,SOTK,
196,,,,AMS,TLYS,TLS,AMS,XAIR,
197,,,,NOTE,IRIX,CRGO,UHG,YHGJ,
198,,,,SDOT,MDRR,ZYXI,OCC,MDRR,
