2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
PRTH,PRTH,OPEN,OPEN,OPEN,OPEN,IRTC,IRTC
PSA,PSA,OPFI,OPFI,OPFI,OPFI,IVT,IVT
PSHG,PSHG,ORA,ORA,ORA,ORA,IZEA,IZEA
PSO,PSO,OTRK,OTRK,OTRK,OTRK,JAMF,JAMF
PSTL,PSTL,PAM,PAM,PAM,PAM,JBI,JBI
PTC,PTC,PARR,PARR,PARR,PARR,JBL,JBL
PZZA,PZZA,PATK,PATK,PATK,PATK,JBTM,JBTM
QGEN,QGEN,PAYC,PAYC,PAYC,PAYC,JCI,JCI
R,R,PEP,PEP,PEP,PEP,JCTC,JCTC
RAIL,RAIL,PINC,PINC,PINC,PINC,JJSF,JJSF
RAVE,RAVE,PMTS,PMTS,PMTS,PMTS,JKHY,JKHY
RBBN,RBBN,POCI,POCI,POCI,POCI,JOYY,JOYY
RDVT,RDVT,POR,POR,POR,POR,KEYS,KEYS
RDWR,RDWR,POST,POST,POST,POST,KRO,KRO
REGN,REGN,PPC,PPC,PPC,PPC,KRYS,KRYS
RICK,RICK,PRO,PRO,PRO,PRO,KT,KT
RMBS,RMBS,PSO,PSO,PSO,PSO,LCUT,LCUT
RMD,RMD,PTEN,PTEN,PTEN,PTEN,LEGH,LEGH
RMR,RMR,PUMP,PUMP,PUMP,PUMP,LFVN,LFVN
ROL,ROL,PWR,PWR,PWR,PWR,LIND,LIND
RVP,RVP,QVCGA,QVCGA,QVCGA,QVCGA,LNN,LNN
RYAM,RYAM,RAVE,RAVE,RAVE,RAVE,LOMA,LOMA
SAP,SAP,RES,RES,RES,RES,LTRX,LTRX
SB,SB,REZI,REZI,REZI,REZI,LUV,LUV
SCCO,SCCO,RRC,RRC,RRC,RRC,LVS,LVS
SD,SD,RRR,RRR,RRR,RRR,LYTS,LYTS
SGA,SGA,SAIA,SAIA,SAIA,SAIA,MA,MA
SGU,SGU,SANG,SANG,SANG,SANG,MANH,MANH
SILC,SILC,SE,SE,SE,SE,MATV,MATV
SIMO,SIMO,SEE,SEE,SEE,SEE,MCFT,MCFT
SMLR,SMLR,SEI,SEI,SEI,SEI,MDU,MDU
SNCR,SNCR,SGA,SGA,SGA,SGA,MDXG,MDXG
SNX,SNX,SGI,SGI,SGI,SGI,MELI,MELI
SNY,SNY,SGU,SGU,SGU,SGU,MERC,MERC
SONY,SONY,SHC,SHC,SHC,SHC,MESA,MESA
SPG,SPG,SHOT,SHOT,SHOT,SHOT,METC,METC
SPNS,SPNS,SILC,SILC,SILC,SILC,MGPI,MGPI
SPOK,SPOK,SMC,SMC,SMC,SMC,MGY,MGY
SPTN,SPTN,SMID,SMID,SMID,SMID,MLKN,MLKN
SQNS,SQNS,SMLR,SMLR,SMLR,SMLR,MNST,MNST
SSNC,SSNC,SNAP,SNAP,SNAP,SNAP,MOH,MOH
STKS,STKS,SPCB,SPCB,SPCB,SPCB,MSI,MSI
