,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
115,,,GO,INGN,EXPE,LOGI,TYL,
116,,,JBSS,MCO,VIV,LILA,CORT,
117,,,FFIV,META,REVG,BCPC,BRBR,
118,,,TRGP,MAS,ZBH,LILAK,DAKT,
119,,,TRMD,AIP,PZZA,DAKT,SCCO,
120,,,HUBS,DG,IQV,IQV,ATR,
121,,,PZZA,KORE,VLGEA,SLB,PHM,
122,,,KE,INMD,AIN,NVDA,ADTN,
123,,,ATR,EPM,VVV,MMS,DOUG,
124,,,INGR,PNW,CNR,ALKS,EPAM,
125,,,SPXC,TOMZ,TR,AIRS,AWI,
126,,,RACE,EXTR,TOL,OTIS,EW,
127,,,EPD,WEX,OSK,EPAC,SBAC,
128,,,USAC,WVVI,TPB,CIG,WBA,
129,,,CVS,PGNY,MCD,APLE,DXPE,
130,,,BNL,LEA,DHT,FCFS,LCUT,
131,,,RMR,GRMN,STM,SCCO,LZ,
132,,,KTCC,TNC,MCO,VRSK,PZZA,
133,,,LRN,LNN,CMT,ARLO,LYV,
134,,,BR,NTAP,RMR,ADP,PLAB,
135,,,SAP,HSY,BRO,LMB,NSC,
136,,,ZTS,BJ,MDU,LOPE,LCII,
137,,,WVVI,FARM,ITGR,GFF,FSV,
138,,,PCTY,TPR,HSY,FTI,HSY,
139,,,CROX,TRGP,FDS,IT,AIRS,
140,,,GPK,ALG,PTEN,IR,LLY,
141,,,YUM,NOV,ETD,FIZZ,MLM,
142,,,PCAR,CARS,RYN,MSGS,QRHC,
143,,,NGVC,SYK,YETI,AVNS,KEX,
144,,,TTEK,IR,CNI,B,DENN,
145,,,VMC,COST,NSSC,PFSI,PAYC,
146,,,ALV,HUBS,TGLS,XYL,FTLF,
147,,,SPT,DLTR,AORT,QLYS,GHC,
148,,,REYN,BNL,MA,VNT,MAYS,
149,,,SLVM,STM,PCAR,MLI,BKR,
150,,,APD,VRTX,GKOS,AOUT,SENEB,
151,,,SSD,NGVC,SPNS,NICE,ATGE,
152,,,OPCH,GEN,PSIX,AMRX,TMO,
153,,,MOD,STRA,JELD,WU,COCO,
154,,,ADTN,VMD,ZTS,CL,RCKY,
155,,,WFCF,MSCI,HUBS,PVH,ALCO,
156,,,ALG,NTWK,HESM,RACE,XYZ,
157,,,MAS,EPC,EVLV,ESS,TAP,
158,,,IRDM,TRMD,EHC,LLY,BBW,
159,,,YETI,OPRX,CVS,ULTA,HCA,
160,,,WMS,MOH,ANGO,IBEX,IDT,
161,,,CMPO,REYN,APT,SLVM,VMI,
162,,,INMD,FTEK,GMS,PODD,QVCGA,
163,,,NEU,RPD,SPXC,PG,DLX,
164,,,ALIT,SLVM,NEU,FICO,WKC,
165,,,BIP,EMR,KNTK,ALCO,HBIO,
166,,,SBH,SCOR,SKY,MKC,GRC,
167,,,CCSI,RSG,APD,BURL,HLT,
168,,,AFYA,TDC,BBW,CHEF,OMC,
169,,,IESC,SPXC,VMD,PCTY,AMPL,
170,,,WFRD,TXG,PSMT,INGR,BNL,
171,,,XPEL,SPSC,XPEL,VLGEA,BALL,
172,,,XYL,APOG,PAYX,DLX,IP,
173,,,AMGN,HALO,ZWS,HALO,COLL,
174,,,BLMN,TNDM,BCPC,OTTR,UNF,
175,,,DOUG,WMS,CPIX,TMO,ACVA,
176,,,DNOW,IPAR,TRI,SBAC,EHC,
177,,,AMCX,UVV,WST,DY,SONO,
178,,,NCSM,BMY,PII,EHC,RL,
179,,,HALO,DBI,ICLR,MRVL,SGC,
180,,,MCO,WING,AXTA,BR,PRSU,
181,,,LAND,DNB,CARS,IZEA,SMPL,
182,,,TXG,LBRT,VRT,CAH,CYH,
183,,,ALLE,PODD,WNC,PAYC,FCFS,
184,,,EMR,TRI,UIS,UPWK,YETI,
185,,,BCPC,ADTN,TDC,BBWI,SPSC,
186,,,LNG,PD,LINC,HOLX,USAC,
187,,,TPR,BBW,TNDM,BNL,FDS,
188,,,VC,WNS,EPD,HRB,PEGA,
189,,,SAM,APTV,TRVG,WFRD,HURN,
190,,,SCOR,LINC,UNF,ABT,SXC,
191,,,BLD,TREX,MOD,NKE,CME,
192,,,DNB,PEG,ALLT,WMS,CAH,
193,,,OPRX,B,OGN,NSC,ARTW,
194,,,STRA,NEU,CABO,INFU,MPLX,
195,,,EXP,WINA,KE,NVST,MYPS,
196,,,PNW,EPAC,CVGW,EME,EPD,
197,,,WEN,CPRT,BBSI,ATR,DGX,
198,,,BSX,VAL,IDT,PFE,CTSH,
199,,,NDLS,GRC,HPQ,MPLX,INSE,
200,,,CBZ,INSW,WNS,BIIB,CAKE,
201,,,IHRT,BTBD,QNST,RFIL,MRVL,
202,,,VMD,AIT,GRC,RL,SKX,
203,,,HP,PCRX,CCSI,TTI,TITN,
204,,,RDWR,CHEF,WM,CNMD,HELE,
205,,,MSCI,MCFT,LECO,LVS,CRNT,
206,,,ON,APT,ENPH,SMPL,REVG,
207,,,AXTA,UGP,STKL,FFIV,TTC,
208,,,AMPH,RDWR,VC,HUBB,KBH,
209,,,EME,FTDR,CMCSA,CPRT,SPNS,
210,,,ARLP,KE,AGYS,CLMB,WILC,
211,,,LOCO,QLYS,MANH,IDT,THRM,
212,,,IEP,USLM,RDWR,TIMB,OTEX,
213,,,NSIT,LECO,LNN,MOH,DT,
214,,,GOGO,CROX,EVI,UNF,LEGH,
215,,,VREX,NOW,EXTR,DORM,CARR,
216,,,IFF,CIG,USAC,HSY,LVS,
217,,,FIX,ON,SPSC,CARR,WAB,
218,,,RGLD,MITK,DOCU,VRNT,SGI,
219,,,TS,TR,DAKT,BRO,OMI,
220,,,PII,CMT,AIT,HLT,UTI,
221,,,GPOR,MORN,SONY,DCBO,MPWR,
222,,,MDU,EXEL,DNB,XRAY,NGVT,
223,,,CNH,INCY,ARLP,TLS,EWCZ,
224,,,DHT,MANH,APOG,PNRG,GVA,
225,,,SABR,CME,GTM,COLL,NGVC,
226,,,AGRO,ALV,WMS,LXP,LMB,
227,,,HI,NBIX,SMPL,FOUR,STE,
228,,,AWI,AAON,AMPH,REYN,SRI,
229,,,CCO,SPOT,STZ,CTAS,ICUI,
230,,,WOW,GPK,CORT,LAUR,HBI,
231,,,LOMA,HPE,TTD,PWR,EFX,
232,,,SON,EVI,IFF,COOP,EZPW,
233,,,UTHR,IESC,SCS,STE,WLK,
234,,,ACLS,PUMP,EFXT,ITRN,AM,
235,,,TMUS,CBZ,ALRM,INSE,FFIV,
236,,,IPG,GM,WEN,MLR,JBGS,
237,,,WING,RDVT,IHRT,MELI,OLLI,
238,,,AMPY,AIN,ESTC,A,APLE,
239,,,SKY,CVGW,PAGP,CORT,SSNC,
240,,,INSW,OMC,CVCO,SXC,RSG,
241,,,TIMB,ARLP,CAAP,HPP,ROCK,
242,,,GM,PAGP,GO,DXPE,MLR,
243,,,QRHC,MODV,RAMP,NTIC,BCO,
244,,,HUBB,MDU,PI,SAH,GILT,
245,,,FSS,FRD,NCSM,STRA,NXST,
246,,,USLM,AGRO,LW,EZPW,DLHC,
247,,,RYN,SBAC,PUMP,AMPH,GBX,
248,,,GRC,DHT,DT,WM,MEC,
249,,,KRT,DT,VRTX,GRC,VRNT,
250,,,SLB,UNF,SPT,MPWR,LEE,
251,,,TEX,BG,POWL,CHRW,STNG,
252,,,LECO,TTD,INNV,EXPE,MELI,
253,,,TECH,APD,KTCC,AWI,SHOP,
254,,,BRO,LOCO,AMPY,ODC,PAY,
255,,,ENPH,SMPL,BNL,SPGI,ZWS,
256,,,GRMN,FFIV,TECH,CLBT,OPEN,
257,,,FTDR,AMGN,NTCT,AMD,ALKS,
258,,,FNKO,AORT,CHD,IMAX,CHRW,
259,,,EVH,IQV,UTHR,EWCZ,FLL,
260,,,AWX,BLD,MO,CLH,CNMD,
261,,,SBAC,CQP,ECL,CYH,SXT,
262,,,KEX,SCSC,REYN,SRI,IPAR,
263,,,THRM,TTEK,ODC,FTLF,ALK,
264,,,PCRX,CVCO,ICFI,SCL,DOLE,
265,,,BLDE,CABO,UI,PDM,IQV,
266,,,KHC,PERI,IESC,PANW,WBD,
267,,,LYTS,KEX,COST,COO,EVTC,
268,,,CABO,OPRA,PAA,TDOC,JBL,
269,,,ALK,GOGO,IT,BRAG,SPGI,
270,,,PUMP,NDLS,SBAC,AM,CIVI,
271,,,LWAY,PI,SABR,VITL,EPAC,
272,,,TTD,AMPH,TOMZ,THC,PNW,
273,,,DPZ,ITGR,AM,PLTR,NBIX,
274,,,ITGR,WM,BSX,HAE,DORM,
275,,,CVCO,ATNI,PODD,LCII,REYN,
276,,,EFXT,SPB,BMY,OTEX,CNTY,
277,,,LMB,AM,EPM,SPNS,TT,
278,,,UGP,PCAR,TUSK,FSLY,NDAQ,
279,,,IDXX,WSM,CQP,BLD,ESS,
280,,,AAON,IDCC,NSIT,ATGE,ITRN,
281,,,NOW,USEG,BLMN,PNW,SCL,
282,,,ROAD,COR,GPN,PK,SSRM,
283,,,CQP,JCI,DG,AVTR,CHT,
284,,,BBU,ICE,VERX,BBSI,HRMY,
285,,,TRUP,ARCO,BJ,GVA,FVRR,
286,,,LBRT,HUBB,EMR,UTHR,SRTS,
287,,,ARCO,PAA,UVV,HRMY,MLI,
288,,,LCUT,FSS,DORM,EPD,KMI,
289,,,DXPE,DIN,PEG,COKE,LXP,
290,,,FOUR,SABR,JOE,FROG,PANW,
291,,,BTBD,XPEL,LMB,AMS,TTD,
292,,,MYRG,BCPC,CHEF,GNRC,BMBL,
293,,,NE,SPNS,WAB,EVTC,COOP,
294,,,PEG,BBCP,PNW,CCRD,HFFG,
295,,,CSTE,DAKT,PCTY,TPB,FTI,
296,,,BWMX,IRDM,CNH,NGVC,GNRC,
297,,,OPRA,OGN,TS,LYV,PPIH,
298,,,VITL,WEN,DIN,WKC,TEVA,
299,,,WAB,ELAN,APTV,KEX,TOL,
300,,,DORM,ROAD,WEX,IESC,OTTR,
301,,,JELD,AMPY,AKAM,EW,SWAG,
302,,,NICE,LW,IEP,PBA,MAMA,
303,,,IR,WOW,FRD,TUSK,NTIC,
304,,,APTV,TGLS,FIX,BMBL,HOLX,
305,,,WNS,GHC,MITK,NVGS,TM,
306,,,IQV,CNR,OPRX,TPIC,TTI,
307,,,RPD,LMB,MATV,PHM,FLEX,
308,,,TPB,CCO,WFRD,ICLR,SPXC,
309,,,RNGR,MXC,WK,LZ,SLVM,
310,,,VERX,UTHR,GDDY,EPAM,MHO,
311,,,UIS,TS,VITL,GLDD,CSBR,
312,,,CHEF,REVG,ALK,MEC,CLBT,
313,,,NOV,MYRG,MXC,ULH,INVX,
314,,,ALRM,CWCO,CGNT,FVRR,CTEV,
315,,,THC,GPN,OPRA,WBD,LILAK,
316,,,TSLA,EFXT,OPCH,CIVI,FSS,
317,,,DAC,TEX,EXP,ICUI,LILA,
318,,,TYL,OSK,PWR,FMS,LNW,
319,,,MATV,AGYS,SLB,ESOA,WMS,
320,,,JCI,SONY,MODV,CRNT,ZBRA,
321,,,GEN,RYN,MYRG,CLW,CLH,
322,,,AORT,WFRD,ELAN,DDOG,HUBB,
323,,,ICLR,RACE,DY,PAY,SNOW,
324,,,ATNI,SBH,DE,PAM,ITGR,
325,,,ESOA,NTGR,IRTC,HRL,SLB,
326,,,POWL,RVTY,AMCX,F,NVGS,
327,,,GTM,VIST,AWI,RBA,HYFM,
328,,,TRN,STKL,GHC,CHCI,TLS,
329,,,CBOE,KTCC,INSW,VIST,TE,
330,,,WPRT,HI,IR,ROCK,ARLO,
331,,,GPN,CAL,KEX,EFX,CRVL,
332,,,CENX,OSS,KHC,POWL,RFIL,
333,,,TKC,BLDE,GPK,MLP,FCX,
334,,,PTEN,IPG,ADTN,ATEN,MTX,
335,,,CE,VVV,JBTM,DIS,HAE,
336,,,COR,INGR,BBU,GMAB,ICLR,
337,,,TH,GTM,TH,ITGR,CWEN,
338,,,CVI,MLR,IRDM,TGS,EXAS,
339,,,WLFC,ALLT,DXPE,ALK,IMAX,
340,,,ELAN,WRAP,ATNI,CSBR,OI,
341,,,TNK,OPCH,FLL,XYZ,ONL,
342,,,LW,MLM,MLM,LFVN,ODC,
343,,,CMT,GASS,DAL,INVX,FSTR,
344,,,FLL,IFF,PAYC,AXTA,FLS,
345,,,ALSN,TOON,AMGN,VMI,WFRD,
346,,,MLM,XYL,WING,KGC,IPI,
347,,,KNTK,MATV,VMC,GBX,GLOB,
348,,,TTI,PZZA,TSLA,NDAQ,BATL,
349,,,QNST,PDEX,TYL,SPSC,SMC,
350,,,PSIX,ALRM,WOW,STNG,CCRD,
351,,,PI,SKY,VIST,NVRI,RBA,
352,,,MEDP,TRUG,CROX,PSIX,CPRT,
353,,,CSPI,SLB,LBRT,FSS,AXTA,
354,,,NEM,EVH,RPD,RCKY,BLD,
355,,,EXPE,TYL,ACLS,MOD,VERX,
356,,,STM,AFYA,NICE,CAAP,SAIA,
357,,,PWR,JOE,HPE,EIX,KODK,
358,,,B,VMC,RNGR,TGNA,FROG,
359,,,CWCO,JELD,GEN,TRN,BRO,
360,,,RVTY,SON,CSPI,LPX,TTEK,
361,,,LUMN,AXTA,ADP,GLOB,ARIS,
362,,,OGN,MOD,MEDP,PPC,WNS,
363,,,ICE,CCSI,QLYS,TWIN,TPB,
364,,,ACMR,ENPH,LNG,MTW,FET,
365,,,JOE,DAC,ALIT,CWEN,MOD,
366,,,PODD,TECH,CMPO,CTLP,GLDD,
367,,,BAK,LNG,PCRX,SGI,AMD,
368,,,USEG,EME,CE,MHO,PDM,
369,,,CNR,IT,AA,AES,NVMI,
370,,,CHCI,IHRT,IDCC,HFFG,TCX,
371,,,PAYS,CLW,CPRT,ACVA,EXP,
372,,,VRT,ALLE,NOV,SMC,SMID,
373,,,CVGW,WST,DDS,LEGH,DIS,
374,,,FN,DORM,DNOW,VALU,FSLY,
375,,,VAL,LWAY,DLTR,RCL,ROAD,
376,,,CLW,PWR,GIFI,NGVT,CRM,
377,,,CAAP,AA,ACMR,TSSI,USLM,
378,,,STRL,VITL,HP,NCLH,HOV,
379,,,COMM,XPRO,LOCO,SMID,FRHC,
380,,,MGNI,TSLA,OMC,WILC,PSIX,
381,,,RYAM,VRNT,XPRO,STEM,NCLH,
382,,,CEPU,AMCX,PLAB,IPI,LPX,
383,,,,DOUG,SON,STRL,ULH,
384,,,,SCS,TNK,FCX,POWL,
385,,,,DAL,DAVA,AVNW,PLTR,
386,,,,FNKO,BBCP,FLEX,NVRI,
387,,,,FIX,VREX,VIV,RCL,
388,,,,UIS,FN,TSM,MVST,
389,,,,TRN,STRL,WLFC,ESOA,
390,,,,DOCU,ICE,SSNC,UAL,
391,,,,TKC,RYAM,EDN,NBR,
392,,,,DXPE,TPIC,SSRM,FOUR,
393,,,,GDDY,HAE,USLM,NGS,
394,,,,HPQ,BLD,FN,STRL,
395,,,,VC,TSE,CME,CHCI,
396,,,,SLSN,TRN,NVMI,WEX,
397,,,,CAAP,USLM,ADTN,MPAA,
398,,,,TH,LUMN,NGS,WLFC,
399,,,,EXP,NE,ROAD,TSSI,
400,,,,RNGR,IPG,DDI,PAYO,
401,,,,NICE,CHCI,SAIA,RAIL,
402,,,,ACLS,TRUP,BIO,,
403,,,,BIP,SLSN,CMBT,,
404,,,,WLFC,TEX,ARMN,,
405,,,,EVLV,PERI,MVST,,
406,,,,NSSC,WLFC,NBR,,
407,,,,TOL,PAYS,PAYO,,
408,,,,BRO,EME,BATL,,
409,,,,GMGI,CCO,SHEN,,
410,,,,SSD,CBZ,RAIL,,
411,,,,TNK,NEM,UAL,,
412,,,,CEPU,TTI,,,
413,,,,CENX,ESOA,,,
414,,,,HP,ROAD,,,
415,,,,ALSN,COMM,,,
416,,,,NE,TRGP,,,
417,,,,NEM,VRNT,,,
418,,,,RYAM,GASS,,,
419,,,,CE,CVI,,,
420,,,,BBU,VAL,,,
421,,,,MEDP,MGNI,,,
422,,,,ICLR,LOMA,,,
423,,,,ACMR,CEPU,,,
424,,,,ALK,,,,
425,,,,CHCI,,,,
426,,,,STRL,,,,
427,,,,PLAB,,,,
428,,,,CMPO,,,,
429,,,,VERX,,,,
430,,,,AXR,,,,
431,,,,VRT,,,,
432,,,,KOSS,,,,
433,,,,FOUR,,,,
434,,,,TSE,,,,
435,,,,COMM,,,,
436,,,,THRM,,,,
437,,,,PSIX,,,,
438,,,,DAVA,,,,
439,,,,FN,,,,
440,,,,TRUP,,,,
441,,,,CSTE,,,,
442,,,,MGNI,,,,
443,,,,LOMA,,,,
444,,,,WNC,,,,
445,,,,TPIC,,,,
446,,,,LUMN,,,,
