2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
PAYC,PAYC,MSCI,MSCI,MSCI,MSCI,MO,MO
PAYX,PAYX,MTCH,MTCH,MTCH,MTCH,MRK,MRK
PBF,PBF,MTX,MTX,MTX,MTX,MSGS,MSGS
PBR,PBR,MWA,MWA,MWA,MWA,MTX,MTX
PDD,PDD,NEE,NEE,NEE,NEE,MTZ,MTZ
PHM,PHM,NGVC,NGVC,NGVC,NGVC,MU,MU
PNRG,PNRG,NHC,NHC,NHC,NHC,NCLH,NCLH
PPC,PPC,NOV,NOV,NOV,NOV,NCSM,NCSM
PRSU,PRSU,NOVT,NOVT,NOVT,NOVT,NGVC,NGVC
PSMT,PSMT,NSSC,NSSC,NSSC,NSSC,NOV,NOV
RES,RES,NTNX,NTNX,NTNX,NTNX,NOW,NOW
RGP,RGP,OEC,OEC,OEC,OEC,NYT,NYT
RPAY,RPAY,OSUR,OSUR,OSUR,OSUR,ORGO,ORGO
RPD,RPD,PAGP,PAGP,PAGP,PAGP,PANW,PANW
RRC,RRC,PAYX,PAYX,PAYX,PAYX,PCTY,PCTY
SAM,SAM,PDD,PDD,PDD,PDD,PDD,PDD
SBGI,SBGI,PEGA,PEGA,PEGA,PEGA,PKG,PKG
SFM,SFM,PHI,PHI,PHI,PHI,PLOW,PLOW
SLGN,SLGN,PINS,PINS,PINS,PINS,PM,PM
SM,SM,PLTR,PLTR,PLTR,PLTR,PNRG,PNRG
SPSC,SPSC,PSIX,PSIX,PSIX,PSIX,PNTG,PNTG
STLD,STLD,QLYS,QLYS,QLYS,QLYS,PNW,PNW
STNG,STNG,RACE,RACE,RACE,RACE,POWL,POWL
SU,SU,REVG,REVG,REVG,REVG,PPC,PPC
SXC,SXC,REXR,REXR,REXR,REXR,PRO,PRO
SYNA,SYNA,REYN,REYN,REYN,REYN,PRTH,PRTH
TCOM,TCOM,RGLD,RGLD,RGLD,RGLD,PSFE,PSFE
TEN,TEN,RGP,RGP,RGP,RGP,PSMT,PSMT
THO,THO,ROAD,ROAD,ROAD,ROAD,PZZA,PZZA
TK,TK,RTO,RTO,RTO,RTO,QCOM,QCOM
TNK,TNK,SAM,SAM,SAM,SAM,RAVE,RAVE
TPL,TPL,SAP,SAP,SAP,SAP,RCKY,RCKY
TRAK,TRAK,SBUX,SBUX,SBUX,SBUX,RCL,RCL
TRC,TRC,SGC,SGC,SGC,SGC,REVG,REVG
TRIP,TRIP,SHOP,SHOP,SHOP,SHOP,RGLD,RGLD
TRMD,TRMD,SKX,SKX,SKX,SKX,RIGL,RIGL
TSLA,TSLA,SMCI,SMCI,SMCI,SMCI,RMAX,RMAX
TSM,TSM,SMPL,SMPL,SMPL,SMPL,RMBS,RMBS
TTD,TTD,SNPS,SNPS,SNPS,SNPS,ROCK,ROCK
TTEK,TTEK,SPOK,SPOK,SPOK,SPOK,ROKU,ROKU
TWI,TWI,STNE,STNE,STNE,STNE,RPD,RPD
UGP,UGP,T,T,T,T,SBAC,SBAC
UMC,UMC,TAP,TAP,TAP,TAP,SBGI,SBGI
USFD,USFD,TCOM,TCOM,TCOM,TCOM,SCCO,SCCO
VC,VC,TDOC,TDOC,TDOC,TDOC,SEM,SEM
VET,VET,TEN,TEN,TEN,TEN,SFM,SFM
VIST,VIST,TEX,TEX,TEX,TEX,SGC,SGC
VLGEA,VLGEA,TH,TH,TH,TH,SHIP,SHIP
VMI,VMI,THC,THC,THC,THC,SMID,SMID
VNOM,VNOM,THRM,THRM,THRM,THRM,SNCR,SNCR
VPG,VPG,THS,THS,THS,THS,SNDL,SNDL
