2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
,,,ONIT,IDN,OIS,DIBS,HITI,
,,,ULBI,STKS,TWIN,BOOM,CRNT,
,,,QIPT,DOUG,UEIC,SQNS,GAIA,
,,,DIT,GAIA,EDRY,APT,ZDGE,
,,,MHH,XWEL,HBIO,PRPO,SND,
,,,APT,BTBD,ZDGE,NCSM,BRAG,
,,,XGN,ODV,NOTV,KVHI,JRSH,
,,,RVYL,FTHM,CMT,AIRG,CREX,
,,,ESCA,FTEK,ESEA,INVE,VERB,
,,,LCUT,FPAY,FORR,OGI,APT,
,,,QUBT,EGAN,BLIN,XTNT,CMT,
,,,LIQT,GRNQ,VPG,RGS,JCTC,
,,,FLNT,NRDY,IPW,CPHC,TACT,
,,,SKLZ,IMPP,DTI,OM,KVHI,
,,,INUV,GGR,NRDY,TAIT,ACNT,
,,,TOON,TOON,ACU,BWEN,IRIX,
,,,FPAY,CSTE,BDL,TACT,CNVS,
,,,BKTI,CMT,CRWS,NOTE,HBIO,
,,,APPS,SOL,SHIP,ZVIA,RMTI,
,,,ESEA,III,AMPY,ULBI,BGLC,
,,,LNSR,CULP,CPIX,INGN,ANIK,
,,,RELL,SGRP,FORD,DAIO,FRGT,
,,,NRDY,AXTI,VIRC,BRLT,BARK,
,,,SGA,SSKN,ANGO,ZYXI,IZEA,
,,,WPRT,MTEX,FLNT,JCTC,INFU,
,,,OGI,TUSK,ZVIA,WHWK,AMS,
,,,AKA,CPHC,ONEW,FLXS,OPAD,
,,,TAIT,RGS,AVNW,QRHC,DOUG,
,,,CMCL,STRT,APT,GTIM,LUNG,
,,,STIM,NAII,ACCS,TELA,FSI,
,,,HBIO,VVOS,TBRG,CPIX,INUV,
,,,DTST,ZDGE,GAIA,AENT,VERO,
,,,FLXS,ARTW,TG,RELL,PBYI,
,,,KGEI,BRAG,HBB,HHS,NRDY,
,,,HHS,RDNW,LXRX,GAIA,RMCF,
,,,NC,OPAD,IVF,AP,EML,
,,,CSCI,ACCS,HYPR,RFL,COSM,
,,,CVGI,MCHX,MCHX,NHTC,CPHC,
,,,IMCC,COSM,BRN,CXAI,TE,
,,,VVOS,DTST,LAKE,CLLS,BWEN,
,,,GTIM,CMBM,RFIL,MCHX,BZFD,
,,,AXTI,APT,SGC,AKA,OCC,
,,,FRSX,INFU,APPS,OPAD,FLNT,
,,,PXS,TACT,SPRU,RMTI,BLNK,
,,,OSS,BGLC,BBCP,NRDY,GENC,
,,,APYX,KGEI,FRD,EKSO,TELA,
,,,CMT,NBY,RELL,MHH,SNCR,
,,,EXFY,BKTI,DAIO,GROV,GROV,
,,,BTBD,HYPR,OSUR,FRD,AIRG,
,,,GAIA,XGN,FSTR,TWIN,DAIO,
,,,XTNT,EML,CMCL,VRAR,ULBI,
,,,CNTY,DIBS,WFCF,EDAP,BEEM,
,,,MCHX,CREX,SMHI,SNES,CDLX,
,,,TELA,LDWY,NC,EML,CSCI,
,,,AIRG,SSTI,COOK,CDLX,HYPR,
,,,III,PRPL,BWEN,AIRS,ZYXI,
,,,DTI,PPIH,FF,OPRX,IDAI,
,,,EML,HHS,BFRI,STRT,UAVS,
,,,RCEL,SONM,DLHC,ARQ,AP,
,,,ELA,PLAG,VRME,HYPR,CVRX,
,,,TG,RFIL,HDSN,OTRK,NTIC,
,,,OPRX,DAIO,EGAN,SSKN,ECOR,
,,,SHIP,INTZ,INFU,GENC,IDN,
,,,BGLC,RELL,PLL,XGN,MLSS,
,,,ACNT,GIFI,FEIM,BRAG,TOON,
,,,TWIN,BWEN,NOTE,EGAN,GIFI,
,,,CPHC,GPRO,OGI,CULP,LGVN,
,,,BEEM,DTI,CULP,BDSX,CNET,
,,,ASYS,NC,HITI,SHIP,MAPS,
,,,CELU,ESCA,EVI,RELI,SNOA,
,,,ACU,FLNT,TTSH,EVC,KRMD,
,,,GROV,BZFD,OSS,SGRP,INLX,
,,,ALLT,TOMZ,ACNT,ACU,MYO,
,,,EPSN,MHH,LTRX,INFU,CCLD,
,,,PLL,IFRX,ONTF,TLS,MPAA,
,,,STKS,IVDA,PANL,BLIN,FLXS,
,,,REKR,CTRN,MHH,CMT,ASYS,
,,,RELI,APYX,AUDC,INUV,SRTS,
,,,AEYE,LVLU,OPAD,WKSP,PRPO,
,,,IDN,NVVE,GTIM,DTST,RFIL,
,,,SCOR,BKKT,TNXP,MSAI,ACU,
,,,TZOO,IMCC,PPIH,INLX,ARQ,
,,,IPDN,CXAI,SGHT,EVTV,PLAG,
,,,TISI,CRGO,TLS,MAPS,SOTK,
,,,BWEN,AGAE,CRGO,TNXP,XAIR,
,,,AMS,IRIX,ZYXI,AMS,YHGJ,
,,,NOTE,TLYS,EXFY,UHG,MDRR,
,,,SDOT,MDRR,SSTI,RFIL,CTSO,
,,,BRN,CRNC,LUNG,OCC,INTZ,
,,,DLHC,BEEM,CNVS,SINT,SKIL,
,,,INNPF,AMS,KEQU,SRTS,JYNT,
,,,ELLO,WYY,UTMD,GIFI,SSTI,
,,,CRGO,EDAP,ORN,BRN,PPIH,
,,,FTK,SDOT,BDSX,OSS,LAKE,
,,,USEG,ULBI,CTSO,UAVS,EVC,
,,,SRTS,CRWS,SNCR,DVLT,CYN,
,,,BWAY,XTNT,PRPL,SLND,FRSX,
,,,SSTI,RGTI,USIO,OPAL,BRN,
,,,TYGO,TWIN,GIFI,ICCC,MSAI,
,,,KOSS,MGNX,NTIC,NTIC,MXC,
,,,INTZ,JYNT,ALTG,PSQH,ZVIA,
,,,INLX,INUV,IRIX,JYNT,TRUG,
,,,CREX,LPTH,ULBI,PROP,XTNT,
,,,CETX,FSI,ASM,LVLU,UTMD,
,,,FEMY,CNTY,RDNW,FKWL,OESX,
,,,BRAG,NOTE,SLND,RPID,AGAE,
,,,CMBM,EKSO,KGEI,UG,EPSN,
,,,LGVN,LTRX,RGS,EFOI,MIND,
,,,EDAP,INVE,ASUR,APYX,CRGO,
,,,AGAE,CTSO,LINK,EPSN,ALTG,
,,,ICCC,CLLS,MNDO,CHCI,ELA,
